,Sale ID,Product_Name,Price,Description,Quantity
0,1,Pantalla,4000,Pantall LED,14
1,2,Headset,1260,Audifonos gamer,3
2,3,Pantalla,4000,Pantall LED,12
3,4,Teclado,750,De los que hacen soniditos,6
4,5,Headset,1260,Audifonos gamer,10
5,6,Teclado,750,De los que hacen soniditos,6
6,7,Laptop A,5400,Esta es una laptop A,9
7,8,Teclado,750,De los que hacen soniditos,11
8,9,Mouse,150,Mouse ergonomico,2
9,10,Laptop A,5400,Esta es una laptop A,10
10,11,Laptop B,3300,Esta es una laptop B,12
11,12,Pantalla,4000,Pantall LED,12
12,13,Laptop A,5400,Esta es una laptop A,2
13,14,Laptop A,5400,Esta es una laptop A,13
14,15,Mouse,150,Mouse ergonomico,15
15,16,Mouse,150,Mouse ergonomico,15
16,17,Laptop B,3300,Esta es una laptop B,8
17,18,Laptop A,5400,Esta es una laptop A,2
18,19,Laptop A,5400,Esta es una laptop A,13
19,20,Teclado,750,De los que hacen soniditos,9
20,21,Mouse,150,Mouse ergonomico,7
21,22,Laptop B,3300,Esta es una laptop B,15
22,23,Mouse,150,Mouse ergonomico,11
23,24,Laptop A,5400,Esta es una laptop A,9
24,25,Mouse,150,Mouse ergonomico,13
25,26,Laptop B,3300,Esta es una laptop B,3
26,27,Pantalla,4000,Pantall LED,14
27,28,Headset,1260,Audifonos gamer,14
28,29,Mouse,150,Mouse ergonomico,8
29,30,Laptop A,5400,Esta es una laptop A,4
30,31,Mouse,150,Mouse ergonomico,10
31,32,Headset,1260,Audifonos gamer,6
32,33,Teclado,750,De los que hacen soniditos,12
33,34,Laptop B,3300,Esta es una laptop B,9
34,35,Pantalla,4000,Pantall LED,3
35,36,Mouse,150,Mouse ergonomico,10
36,37,Pantalla,4000,Pantall LED,12
37,38,Pantalla,4000,Pantall LED,9
38,39,Laptop A,5400,Esta es una laptop A,14
39,40,Headset,1260,Audifonos gamer,7
40,41,Headset,1260,Audifonos gamer,9
41,42,Laptop A,5400,Esta es una laptop A,2
42,43,Teclado,750,De los que hacen soniditos,13
43,44,Headset,1260,Audifonos gamer,6
44,45,Laptop A,5400,Esta es una laptop A,1
45,46,Pantalla,4000,Pantall LED,4
46,47,Laptop B,3300,Esta es una laptop B,15
47,48,Mouse,150,Mouse ergonomico,14
48,49,Mouse,150,Mouse ergonomico,8
49,50,Headset,1260,Audifonos gamer,11
50,51,Headset,1260,Audifonos gamer,1
51,52,Mouse,150,Mouse ergonomico,13
52,53,Pantalla,4000,Pantall LED,4
53,54,Teclado,750,De los que hacen soniditos,9
54,55,Laptop A,5400,Esta es una laptop A,15
55,56,Laptop B,3300,Esta es una laptop B,6
56,57,Headset,1260,Audifonos gamer,4
57,58,Headset,1260,Audifonos gamer,13
58,59,Laptop B,3300,Esta es una laptop B,7
59,60,Pantalla,4000,Pantall LED,5
60,61,Laptop B,3300,Esta es una laptop B,11
61,62,Teclado,750,De los que hacen soniditos,1
62,63,Headset,1260,Audifonos gamer,2
63,64,Laptop A,5400,Esta es una laptop A,8
64,65,Pantalla,4000,Pantall LED,4
65,66,Laptop B,3300,Esta es una laptop B,1
66,67,Mouse,150,Mouse ergonomico,7
67,68,Laptop A,5400,Esta es una laptop A,8
68,69,Laptop B,3300,Esta es una laptop B,10
69,70,Teclado,750,De los que hacen soniditos,13
70,71,Pantalla,4000,Pantall LED,11
71,72,Headset,1260,Audifonos gamer,2
72,73,Laptop B,3300,Esta es una laptop B,11
73,74,Headset,1260,Audifonos gamer,6
74,75,Headset,1260,Audifonos gamer,7
75,76,Headset,1260,Audifonos gamer,9
76,77,Headset,1260,Audifonos gamer,13
77,78,Laptop A,5400,Esta es una laptop A,1
78,79,Mouse,150,Mouse ergonomico,2
79,80,Laptop A,5400,Esta es una laptop A,5
80,81,Pantalla,4000,Pantall LED,11
81,82,Headset,1260,Audifonos gamer,3
82,83,Pantalla,4000,Pantall LED,4
83,84,Pantalla,4000,Pantall LED,7
84,85,Laptop A,5400,Esta es una laptop A,1
85,86,Headset,1260,Audifonos gamer,2
86,87,Headset,1260,Audifonos gamer,10
87,88,Laptop A,5400,Esta es una laptop A,12
88,89,Teclado,750,De los que hacen soniditos,12
89,90,Teclado,750,De los que hacen soniditos,7
90,91,Headset,1260,Audifonos gamer,15
91,92,Mouse,150,Mouse ergonomico,8
92,93,Laptop B,3300,Esta es una laptop B,10
93,94,Pantalla,4000,Pantall LED,14
94,95,Laptop A,5400,Esta es una laptop A,8
95,96,Pantalla,4000,Pantall LED,3
96,97,Teclado,750,De los que hacen soniditos,3
97,98,Teclado,750,De los que hacen soniditos,7
98,99,Mouse,150,Mouse ergonomico,11
